ID	Name	In playlist	Owner	Release date	Duration	Play	Like	Repost	Number comment	Link
7_22	Clean Bandit feat. Jess Glynne - Rather Be (Cha cha 31bpm - André & MaLand Dj Remix)	chacha	FDMP ||Dancesport Music||	8 May 2014	2:25	66K	522	30	1	https://soundcloud.com/fdmp-official/clean-bandit-feat-jess-glynne-rather-be-cha-cha-31bpm-andre-maland-dj-remix?in=h-thanh-t-ng-3/sets/chacha
6_23	MC Bomber - Phase Eins	#1 MS DOCKVILLE 2016	Joseph D. Pistone	10 February 2015	2:36	47.1K	721	26	5	https://soundcloud.com/djpistone/mc-bomber-phase-eins?in=dockville/sets/einsmsdockville2016
1_24	Panic! At The Disco - High Hopes (Two Friends Remix)	Sorry Neighbors #2	Two Friends Remixes	21 February 2019	3:14	834K	14.7K	1,057	177	https://soundcloud.com/twofriendsremixes3/highhopes?in=mugatunesofficial/sets/sorry-neighbors-2-1
7_25	Miami Pop (Vs. Phil Fuldner)	chacha	Avera	20 July 2013	2:37	2,257	4	4,638	Comment	https://soundcloud.com/averaofficial/miami-pop?in=h-thanh-t-ng-3/sets/chacha
6_26	DCVDNS - Eigentlich Wollte Nate Dogg Die Hook Singen HQ.mp3	#1 MS DOCKVILLE 2016	user786201708	5 May 2014	3:09	122K	1,430	62	0	https://soundcloud.com/user786201708/dcvdns-eigentlich-wollte-nate?in=dockville/sets/einsmsdockville2016
1_27	One Song One Drop	Sorry Neighbors #2	Deerock	26 February 2019	10:00	122K	1,812	137	21	https://soundcloud.com/deerockmusic/one-song-one-drop?in=mugatunesofficial/sets/sorry-neighbors-2-1
7_28	Mi Mi Mi (Cha Cha) ft. Watazu	chacha	Milos A Dancesport	29 December 2013	2:34	71.1K	669	51	7	https://soundcloud.com/milos-a/mi-mi-mi-cha-cha-ft-watazu?in=h-thanh-t-ng-3/sets/chacha
6_29	Stürzende Helden	#1 MS DOCKVILLE 2016	Frittenbude	13 July 2015	3:59	27.8K	463	59	11	https://soundcloud.com/frittenbude/sturzende-helden?in=dockville/sets/einsmsdockville2016
5_30	Ghetto Ass Bitches	Piss Off Your Neighbors	SNBRN	7 December 2016	3:42	1.31M	34K	6,822	441	https://soundcloud.com/snbrn/ghetto-ass-bitches?in=mugatunesofficial/sets/piss-off-your-neighbors
8_31	ANH KHÔNG THỀ GÌ ĐÂU ANH LÀM. #AKTGĐ - PHÚC DU	Rap luv <3	ARKA RECORDS	14 February 2019	2:10	6.31M	53K	2,034	500	https://soundcloud.com/arkarecords/anh-khong-the-gi-dau-anh-lam-aktgd-phuc-du?in=phuc-duong-2011/sets/rap-luv
7_32	Alessandro Olivato -Tacat	chacha	szfrussel	10 September 2012	2:36	42.3K	299	12	2	https://soundcloud.com/szfrussel/alessandro-olivato-tacat?in=h-thanh-t-ng-3/sets/chacha
6_33	Davey Crockett	#1 MS DOCKVILLE 2016	HINDS	28 August 2015	2:57	135K	2,077	306	0	https://soundcloud.com/hindsband/davey-crockett?in=dockville/sets/einsmsdockville2016
7_34	Dj Mitya Vs Loreen - Euphoria - cha cha remix	chacha	TMitya 2.0	23 September 2012	3:09	49.3K	292	26	10	https://soundcloud.com/tmitya-2-0/dj-mitya-vs-loreen-euphoria-2?in=h-thanh-t-ng-3/sets/chacha
6_35	Oscar - Daffodil Days	#1 MS DOCKVILLE 2016	Oscar Scheller	12 January 2015	2:57	213K	2,592	390	33	https://soundcloud.com/oscar_music/daffodil-days?in=dockville/sets/einsmsdockville2016
7_36	Cha-Cha-Cha-Calypso-M-R-DMI DANCESPORT-FT-DJ BRIAN SESSAREGO	chacha	FMR(Dancesportmusic)	3 October 2015	2:23	11.8K	92	2	0	https://soundcloud.com/m-rko-pedone/cha-cha-cha-calypso-m-r-dmi-dancesport-ft-dj-brian-sessarego?in=h-thanh-t-ng-3/sets/chacha
8_37	Lux - Koo ft. Nguyên. (Prod. MinhNhat)	Rap luv <3	Là Koo	15 February 2020	2:50	2.37M	19.3K	567	194	https://soundcloud.com/mega-koo/lux-koo-ft-nguyen-prod-minhnhat?in=phuc-duong-2011/sets/rap-luv
6_38	Erobique - Easy	#1 MS DOCKVILLE 2016	Flowsen Fresh	26 July 2013	5:59	67.9K	2,063	141	16	https://soundcloud.com/flowsen-fresh/erobique-easy?in=dockville/sets/einsmsdockville2016
7_39	Watazu | JLO - Dance Again (ChaCha)	chacha	Dancesport Watazu	13 May 2013	2:53	33.8K	219	17	4	https://soundcloud.com/dancesportwatazu/watazu-jlo-dance-again?in=h-thanh-t-ng-3/sets/chacha
7_40	[CHA CHA CHA] - Whistle - Flo Rida (Sebastien N Remix) 31bpm	chacha	Sebastien N	18 July 2012	2:22	36.9K	309	18	4	https://soundcloud.com/sebastien-n-1/whistle?in=h-thanh-t-ng-3/sets/chacha
8_41	thông thường anh không hay hát vì anh không hát hay	Rap luv <3	Hazel	31 December 2019	3:15	126K	1,448	46	49	https://soundcloud.com/gva-hazel/thong-thuong-anh-khong-hay-hat-vi-anh-khong-hat-hay?in=phuc-duong-2011/sets/rap-luv
4_42	JJ - Still	G-House Mixtape by Westcoast Radio	Mark Rankin	18 June 2011	2:30	7.75M	104K	11.5K	849	https://soundcloud.com/mwrankin/still-d-r-e-dr-dre-jj-remix?in=officialdigitalrecords/sets/g-house-mixtape-by-westcoast
7_43	7 - 11 (Cha-Cha)	chacha	Thomas Bee	3 April 2015	3:24	23.7K	177	7	0	https://soundcloud.com/thomas-bee-music/7-11-cha-cha?in=h-thanh-t-ng-3/sets/chacha
8_44	Anh còn chẳng muốn đặt tên	Rap luv <3	T.D.O	24 July 2019	2:35	3,003	50	4	11	https://soundcloud.com/truongdinhoriginal/anh-con-chang-muon-dat-ten?in=phuc-duong-2011/sets/rap-luv
4_45	Eazy E - Boyz-N-The-Hood (Adrian Lux Remix)	G-House Mixtape by Westcoast Radio	Adrian Lux	16 June 2016	4:51	43K	470	61	20	https://soundcloud.com/adrianlux/eazy-e-boyz-n-the-hood-adrian-lux-remix?in=officialdigitalrecords/sets/g-house-mixtape-by-westcoast
0_46	bad guy	Billies list	Billie Eilish	29 March 2019	0:30	45.3M	741K	18K	0	https://soundcloud.com/billieeilish/bad-guy?in=billie-kihega/sets/billies-list
